position,time,race_num,country,gender,catagory
362,07:34:28,51569,RSA,M,VET
363,07:34:28,48397,RSA,M,SEN
364,07:34:33,13838,RSA,M,SEN
365,07:34:41,56412,BRA,M,MAS
366,07:34:44,26772,RSA,M,SEN
367,07:34:54,56570,RSA,M,SEN
368,07:34:54,27469,RSA,M,SEN
369,07:34:56,58178,RSA,M,SEN
370,07:35:00,22222,RSA,M,VET
371,07:35:13,28428,RSA,M,SEN
372,07:35:18,45114,RSA,M,SEN
373,07:35:32,30162,RSA,M,VET
374,07:35:35,12714,RSA,M,SEN
375,07:35:47,40473,RSA,M,VET
376,07:35:57,17153,RSA,M,SEN
377,07:35:58,57745,RSA,M,VET
378,07:36:29,51110,RSA,M,SEN
379,07:36:38,41831,RSA,M,SEN
380,07:36:42,41866,RSA,M,SEN
381,07:36:42,17191,RSA,M,SEN
382,07:37:12,54485,RSA,M,VET
383,07:37:22,30950,RSA,M,SEN
384,07:37:36,28008,RSA,M,SEN
385,07:37:36,17140,RSA,M,SEN
386,07:37:37,37812,RSA,M,SEN
387,07:37:39,49191,RSA,M,SEN
388,07:37:41,50398,RSA,M,SEN
389,07:37:45,53095,RSA,M,VET
390,07:37:57,36721,RSA,M,SEN
391,07:38:07,17485,RSA,M,VET
392,07:38:07,44026,RSA,M,VET
393,07:38:11,13327,RSA,M,SEN
394,07:38:12,5977,RSA,M,VET
395,07:38:12,33276,RSA,M,VET
396,07:38:33,33294,RSA,M,SEN
397,07:38:33,42555,RSA,M,SEN
398,07:38:39,28726,RSA,M,SEN
399,07:38:42,16160,RSA,M,MAS
400,07:38:49,40213,RSA,M,SEN
401,07:38:52,19005,RSA,M,VET
402,07:38:53,55780,RSA,F,SEN
403,07:39:09,25061,RSA,M,SEN
404,07:39:31,37661,RSA,M,VET
405,07:39:36,43750,RSA,M,SEN
406,07:39:37,28632,RSA,M,SEN
407,07:39:51,50246,RSA,M,VET
408,07:40:08,3781,RSA,M,VET
409,07:40:52,23472,RSA,F,SEN
410,07:40:52,51192,RSA,M,SEN
411,07:40:55,56746,RSA,M,VET
412,07:40:59,1012,RSA,M,VET
413,07:41:21,52687,GER,M,VET
414,07:41:39,53406,RSA,M,SEN
415,07:41:47,30812,RSA,M,SEN
416,07:41:58,36974,RSA,M,VET
417,07:42:03,56893,RSA,M,VET
418,07:42:17,59326,RSA,M,SEN
419,07:42:27,28541,RSA,M,SEN
420,07:42:36,19733,RSA,M,SEN
421,07:42:51,18681,RSA,M,SEN
422,07:42:52,14417,RSA,M,VET
423,07:42:52,41140,RSA,M,SEN
424,07:42:54,40707,RSA,M,SEN
425,07:42:55,13350,RSA,M,VET
426,07:42:57,51837,RSA,M,SEN
427,07:43:01,48224,RSA,M,SEN
428,07:43:02,22134,RSA,M,VET
429,07:43:02,51910,RSA,M,VET
430,07:43:04,58570,RSA,M,SEN
431,07:43:06,36833,RSA,M,SEN
432,07:43:09,30220,RSA,M,SEN
433,07:43:25,39023,RSA,M,SEN
434,07:43:25,49713,GBR,M,SEN
435,07:43:29,53691,RSA,M,MAS
436,07:43:48,21594,RSA,M,SEN
437,07:44:12,16964,RSA,M,VET
438,07:44:25,41921,RSA,M,SEN
439,07:44:37,50297,RSA,M,VET
440,07:44:41,26600,RSA,M,SEN
441,07:44:46,4702,RSA,M,MAS
442,07:44:58,28530,RSA,M,VET
443,07:44:58,11467,ZIM,M,VET
444,07:45:14,51054,RSA,M,SEN
445,07:45:19,24628,RSA,M,SEN
446,07:45:21,39949,RSA,M,VET
447,07:45:46,49243,RSA,M,VET
448,07:46:10,30149,RSA,M,VET
449,07:46:22,50518,RSA,M,VET
450,07:46:22,51083,RSA,M,VET
451,07:46:25,55034,RSA,M,VET
452,07:46:27,52719,RSA,M,SEN
453,07:46:28,32234,RSA,M,VET
454,07:46:28,28130,RSA,M,SEN
455,07:46:32,48953,RSA,M,VET
456,07:46:33,40176,RSA,M,SEN
457,07:46:53,54290,RSA,M,VET
458,07:46:55,12702,RSA,M,SEN
459,07:47:16,18952,RSA,M,SEN
460,07:47:25,33032,RSA,M,VET
461,07:47:43,13650,RSA,M,SEN
462,07:47:53,24713,RSA,M,SEN
463,07:48:00,26147,RSA,M,SEN
464,07:48:05,52638,RSA,M,VET
465,07:48:07,53273,RSA,M,SEN
466,07:48:07,53540,RSA,M,SEN
467,07:48:20,26858,RSA,M,VET
468,07:48:23,57964,RSA,M,SEN
469,07:48:30,30892,RSA,M,SEN
470,07:48:44,40432,RSA,M,VET
471,07:48:44,28176,RSA,M,SEN
472,07:48:47,15621,RSA,M,SEN
473,07:48:49,43684,RSA,M,SEN
474,07:48:49,14761,RSA,M,SEN
475,07:48:54,55390,RSA,M,SEN
476,07:48:54,30883,RSA,M,SEN
477,07:49:04,40774,RSA,M,SEN
478,07:49:06,19806,RSA,M,SEN
479,07:49:07,52027,RSA,M,VET
480,07:49:24,20916,GBR,M,SEN
481,07:49:31,18456,RSA,M,MAS
482,07:49:32,42827,USA,M,VET
483,07:49:38,27119,RSA,M,VET
484,07:49:39,25348,RSA,M,SEN
485,07:49:40,52459,RSA,M,VET
486,07:49:46,9650,RSA,M,SEN
487,07:49:48,47242,RSA,M,SEN
488,07:50:06,20917,RSA,M,SEN
489,07:50:09,39644,RSA,M,MAS
490,07:50:09,52788,RSA,M,SEN
491,07:50:18,42720,RSA,M,VET
492,07:50:20,9159,RSA,M,VET
493,07:50:23,29595,RSA,M,SEN
494,07:50:30,23436,BRA,M,SEN
495,07:50:30,36924,ZIM,M,SEN
496,07:50:43,51273,RSA,M,SEN
497,07:50:48,53347,RSA,M,SEN
498,07:50:48,36979,RSA,M,SEN
499,07:50:52,37290,RSA,M,SEN
500,07:51:00,16920,RSA,M,VET
501,07:51:20,33040,RSA,M,SEN
502,07:51:33,37364,RSA,M,SEN
503,07:51:35,50934,RSA,M,SEN
